1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0.006,0.01,-0.003,-0.016,-0.013,-0.01,-0.013,0.003,-0.013,-0.003,0.01,-0.003,-0.016,-0.013,-0.01,-0.013,0.003,-0.013,-0.003,-0.013,0.048,0.003,0.01,-0.003,0.003,-0.013,-0.013,-0.026,-0.01,0.006,0.022,0.035,0.022,0.038,0.048,0.01,0.01,-0.003,-0.01,-0.013,-0.064,-0.013,-0.01,-0.029,-0.022,-0.022,-0.019,-0.016,-0.026,-0.029
0.0,-0.022,-0.013,-0.016,-0.013,-0.013,-0.003,0.006,-0.006,-0.013,-0.022,-0.013,-0.016,-0.013,-0.013,-0.003,0.006,-0.006,-0.013,-0.013,0.032,0.016,0.022,0.01,0.01,-0.013,-0.003,-0.019,-0.026,-0.01,0.006,0.029,0.013,0.038,0.038,0.019,0.01,0.006,-0.006,-0.006,-0.093,-0.022,-0.01,-0.026,-0.003,-0.022,-0.013,-0.01,-0.006,0.083
-0.013,-0.022,-0.013,-0.01,-0.003,-0.006,-0.01,-0.013,-0.013,-0.016,-0.022,-0.013,-0.01,-0.003,-0.006,-0.01,-0.013,-0.013,-0.016,-0.003,0.042,0.038,0.035,0.01,0.006,-0.003,0.003,-0.016,-0.026,-0.029,-0.013,0.016,0.022,0.026,0.048,0.035,0.019,0.006,0.003,-0.006,-0.073,-0.054,-0.022,-0.022,-0.038,-0.019,-0.006,-0.038,-0.01,0.307
-0.003,-0.019,0.0,0.0,-0.006,-0.022,-0.013,-0.013,-0.013,-0.006,-0.019,0.0,0.0,-0.006,-0.022,-0.013,-0.013,-0.013,-0.006,-0.006,-0.003,0.038,0.038,0.022,0.022,0.003,-0.003,-0.01,-0.022,-0.029,-0.013,0.0,0.0,0.016,0.042,0.032,0.029,0.006,0.0,-0.003,-0.029,-0.07,-0.051,-0.003,-0.08,0.0,-0.038,-0.077,-0.01,0.281
0.0,0.0,-0.006,0.0,-0.026,-0.019,-0.01,-0.019,-0.006,-0.013,0.0,0.0,-0.006,0.0,-0.026,-0.019,-0.01,-0.019,-0.006,-0.026,-0.08,0.042,0.042,0.032,0.035,0.01,0.003,-0.01,-0.013,-0.026,-0.026,-0.016,0.0,-0.01,0.029,0.042,0.042,0.026,0.013,-0.003,0.003,-0.026,-0.08,-0.035,-0.073,-0.064,-0.064,-0.067,-0.045,0.137
-0.013,0.003,-0.003,0.0,-0.016,-0.013,-0.003,-0.019,-0.013,-0.006,-0.013,0.003,-0.003,0.0,-0.016,-0.013,-0.003,-0.019,-0.013,-0.016,-0.128,0.032,0.022,0.029,0.038,0.032,0.013,0.0,-0.013,-0.019,-0.016,-0.022,0.006,-0.019,0.0,0.038,0.035,0.029,0.013,0.003,0.045,-0.013,-0.042,-0.045,-0.038,-0.086,-0.051,-0.029,-0.067,0.057
-0.013,-0.003,-0.006,-0.016,-0.013,-0.013,0.0,-0.016,0.003,-0.01,-0.013,-0.003,-0.006,-0.016,-0.013,-0.013,0.0,-0.016,0.003,-0.013,-0.125,0.019,0.026,0.045,0.029,0.042,0.029,0.006,-0.019,-0.013,-0.019,-0.022,-0.013,-0.032,-0.019,0.026,0.035,0.035,0.022,0.013,0.064,0.016,-0.01,-0.026,-0.013,-0.067,-0.022,0.0,-0.07,-0.032
-0.01,0.0,0.0,-0.016,-0.003,0.0,-0.006,-0.016,-0.003,-0.013,-0.01,0.0,0.0,-0.016,-0.003,0.0,-0.006,-0.016,-0.003,-0.003,-0.109,0.006,0.0,0.042,0.026,0.038,0.032,0.003,-0.003,-0.013,-0.013,-0.035,-0.042,-0.032,-0.022,0.016,0.029,0.038,0.035,0.022,0.105,0.035,0.013,0.0,0.022,-0.032,0.006,0.035,-0.032,-0.198
-0.013,0.006,-0.003,-0.013,0.0,-0.006,-0.029,-0.026,-0.006,-0.006,-0.013,0.006,-0.003,-0.013,0.0,-0.006,-0.029,-0.026,-0.006,0.0,0.01,0.0,0.003,0.032,0.016,0.038,0.038,0.0,-0.003,-0.01,-0.013,-0.019,-0.029,-0.026,0.003,-0.006,0.026,0.029,0.035,0.035,0.125,0.077,0.045,0.026,0.048,0.003,0.029,0.051,0.003,-0.137
0.0,-0.006,-0.01,-0.016,0.0,-0.003,-0.022,-0.016,-0.003,-0.013,0.0,-0.006,-0.01,-0.016,0.0,-0.003,-0.022,-0.016,-0.003,0.0,0.022,-0.016,-0.013,0.01,0.013,0.038,0.035,0.013,0.0,-0.006,-0.013,-0.013,-0.016,-0.019,-0.029,-0.019,0.006,0.026,0.038,0.038,0.125,0.089,0.07,0.038,0.093,0.038,0.045,0.083,0.022,0.01
